n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
135,P14,Centre d'Intégrité Publique de São Tomé et Príncipe,,,São Tomé et Príncipe,,2025,Autonomisation Agricole et Éducative des Femmes Rurales de Mezochi : Vers l'Autonomie Économique et Sociale,,80000,,
136,P14,Union Locale des Productrices de Karité de Dioila (Sociéte cooperative ULPK-D),,,Mali,,2025,Projet d’Appui à l’autonomisation économiques des femmes vulnerables et les deplacés internes dans la production durable de beurre karité naturel et d’aides sociales aux personnes vulnérables en milieu rural (PA2-25),,80000,,
137,P14,Vie et environnement RWANDA,,,Rwanda,,2025,Autonomisation des filles mères vulnérables par la fabrication de bio briquettes,,80000,,
138,P14,Réseau des Innovateurs pour le Développement Agricole et Social,,,Haïti,,2025,"Appui à l’autonomisation socioéconomiques des femmes en situation de vulnérabilité à travers la mise en place des activités génératrices de revenus, transformation de produits agricoles et d'élevages de caprins dans le département du Nord-Ouest et de l’Artibonite",,96000,,
139,P14,Solidarité Active pour l'Action Humanitaire et le Développement Local,,,Cameroun,,2025,Plan d'action solidaire pour l'autonomisation économique et sociale des femmes rurales et des jeunes filles défavorisées dans le domaine de la pisciculture et de l’agroalimentaire écologique adapté aux changements climatiques dans le village d'ABILI,,48000,,
140,P14,Fondation arménienne Miassine,,,Arménie,,2025,Femmes rurales du lac Arpi: Actrices du développement local,,39000,,
141,P14,Environmental Protection and Conservation Organisation,,,Maurice,,2025,L’autonomisation économique et sociale des femmes en situation de vulnérabilité à l’île Maurice,,99674,,
142,P14,ECO-CARE,,,Bénin,,2025,"Système d'optimisation pour la valorisation, l'inclusion et l’autonomisation 
des femmes rurales vulnérables de Ségbana par l'énergie solaire (SOL'VITA)",,52324,,
143,P14,Association Al Daleel,,,Liban,,2025,FrancoFemmeEntrepreneuses,,39200,,
144,P14,Le Potentiel Bâtisseur,,,Bénin,,2025,Purée au féminin : transformer et entreprendre dans la filière tomate,,64000,,
145,P14,Nuclio Nacional dos tecnicos de intervençao Social,,,Guinée-Bissau,,2025,"Projet d'appui à l'autonomisation et à l'inclusion financière des femmes et des jeunes dans les filières de la noix de cajou, des fruits et des légumes : Mindjer i Balur",,32001,,
146,P14,Environnement et Sociétés au Cameroun,,,Cameroun,,2025,"Une production agropastorale de précision et une distribution améliorée pour l’autonomisation, l’insertion socioéconomique et sociale et la promotion de l’entreprenariat chez la femme rurale dans la région du Sud Cameroun",,79792,,
147,P14,Programme d’Assistance et protection de la Personne Handicapée,,,République démocratique du Congo,,2025,Soutien à l’autonomisation économique des femmes handicapées et autres vulnérables par l’élevage des lapins,,50666,,
148,P14,Association des Gestionnaires pour le Développement,,,Mauritanie,,2025,PAIFER : Projet  d'Autonomisation Intégrée des Femmes à Rosso,,87781,,
149,P14,Association des Amis Moundou-Poitiers,,,Tchad,,2025,Projet d’autonomisation économique des femmes par la valorisation et la promotion des pratiques agro-alimentaires durables à Moundou,,52888,,
150,P14,Association Rawafed pour le développement,,,Tunisie,,2025,Impact’Elles,,92000,,
151,P14,Fondation Maurice A. Sixto,,Services et artisanat,Haïti,,2025,Un Métier pour les Femmes Déplacées,,69836,,
152,P14,Union pour le Développement et Respect des Femmes Haïtiennes,,"Agriculture, sylviculture et pêche",Haïti,,2025,100 reines des abeilles : Un projet d’inclusion économique pour les femmes haïtiennes,,76000,,
153,P14,Comunità Impegno Servizio Volontariato ETS,,"Agriculture, sylviculture et pêche",Haïti,,2025,"FEMMES (F – Formation, É – Économie, M – Mutuelles, M – Mobilisation, E – Égalité, S – Solidarité)",,99776,,
154,P14,Rasanbleman Fanm Vanyan Limonad,,"Agriculture, sylviculture et pêche",Haïti,,2025,Femme Durable et Inclusive (FeDI),,56738,,
155,P14,Association pour le Développement de la Côte Sud d’Haïti,,"Agriculture, sylviculture et pêche",Haïti,,2025,Leadership et entrepreneuriat au feminin (LEF),,82000,,
156,P14,Sonje Ayiti Organization,,"Agriculture, sylviculture et pêche",Haïti,,2025,Renforcement des capacités de 50 femmes en situation de vulnérabilité de la commune de Limonade dans l’agrobusiness et l’économie solidaire,,79700,,
157,P14,Solidarité pour une Jeunesse Résiliente,,"Agriculture, sylviculture et pêche",Haïti,,2025,Renforcement de la Filière Porcine à Pyron : Création d’une Porcherie Moderne et d’un Abattoir pour l’Autonomisation des Femmes et Jeunes Filles,,89000,,
158,P19,AKEWA ACCELERATEUR,,,Gabon,,2024,,,56225,,
159,P19,Green Environnemental Resource GER,,,Gabon,,2024,,,2544,,
160,P19,Agence Nationale de Valorisation des Rés ultats de la Recherche et de l’Innovatio n (ANVRI),,,Congo,,2024,,,65000,,
161,P19,Institut de Recherche Agricole pour le Développement -IRAD,,,Cameroon,,2024,,,51900,,
162,P19,Université Kongo,,,République Démocratique du Congo,,2024,,,87926,,
163,P19,COOPERATIVE LES PRODUITS DE LA TERRE-LPT,,,Gabon,,2024,,,49950,,
164,P19,COMMISSION NATIONALE POUR L'UNESCO,,,Cameroon,,2024,,,20200,,
165,P19,MINISTERE DE L’ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL (METP CONGO-BRAZZA),,,Congo,,2024,,,15233,,
166,P19,PAMOFPE- programme d'amélioration de l'o ffre de la formation professionnelle,,,Cameroon,,2024,,,13075,,
167,P19,Université Kongo,,,République Démocratique du Congo,,2024,,,11057,,
168,P19,ECOLE NATIONALE DE DEVELOPPEMENT RURAL  (ENDR),,,Gabon,,2024,,,83768,,
169,P19,Institut national pour l'étude et la rec herche agronomiques (INERA),,,République Démocratique du Congo,,2024,,,85000,,
170,P19,FORUM DES JEUNES ENTREPRISES DU CONGO  (FJEC),,,Congo,,2024,,,80000,,
171,P19,Ingénieurs sans Frontières,,,Cameroon,,2024,,,40000,,
172,P19,Banque de développement des États de l'Afrique Centrale - BDEAC,,,Congo,,2023,,,50000,,
173,P19,International Emissions Trading Association - IETA,,,Switzerland,,2023,,,5000,,
174,P15,Localverse SAS (BioAlva) BioAlva,,,France,,2024,,,10000,,
175,P15,IKIRAY MIEL DE MADAGASCAR,,,Madagascar,,2024,,,9800,,
176,P15,AFS Association francophone de la Solidarité,,,France,,2024,,,10000,,
177,P15,Fondation AfroClimate,,,Maurice,,2024,,,60000,,
178,P15,ASSOCIATION TOHA,,,Djibouti,,2024,,,34785,,
179,P15,TURATH,,,Liban,,2024,,,15000,,
180,P15,COMMISSION DE L'OCEAN INDIEN - COI,,,Comores,,2025,,,49350,,
181,P15,MDE - MAISON DE L' EMPLOI,,,Comores,,2025,,,14998,,
182,P15,SHOOTING STARS ACADEMY Liban,,,Liban,,2025,,,15000,,
183,P15,FORUM FOR AFRICAN WOMEN EDUCATIONALISTS,,,Madagascar,,2025,,,30000,,
184,P15,"Min. Environnement, Dév. durable et de la transition écologique RCI",,,Côte d'Ivoire,,2025,,,,,
185,P15,Centre de Formation pour  l’Autonomisation de la Femme au MASEF,,,Mauritanie,,2025,,,138000,,
186,P15,Femi Abel TANKPINOU,,,Bénin,,2025,,,10000,,
187,P15,Aina Phylis Fara Raphaël TSABOTOVANONJAKA,,,Seychelles,,2025,,,4000,,
188,P15,Ghita BENSAID,,,Maroc,,2025,,,10000,,
189,P15,Sarah GAESSLER,,,France,,2025,,,5000,,
190,P15,Moustapha DIOP,,,Sénégal,,2025,,,5000,,
191,P15,Jovianne BIRINDWA,,,République démocratique du Congo,,2025,,,5000,,
192,P15,Grace Nelly IRAKOZE,,,Sénégal,,2025,,,10000,,
193,P15,Borivath TAN,,,Cambodge,,2025,,,10000,,
194,P15,E Bonaventure TCHAOU,,,Togo,,2025,,,5000,,
195,P15,Abdou Rachid ALI SOULE,,,Bénin,,2025,,,4000,,
196,P15,Asmahou ALI WAGANA OSSENI,,,Bénin,,2025,,,4000,,
197,P15,Tidiane DIA,,,Sénégal,,2025,,,4000,,
198,P15,NE PAS UTILISER // Alhassan Boner DIALLO,,,Guinée,,2025,,,4000,,
199,P15,Brigitte Cecilia Nzahou Ekomy,,,Gabon,,2025,,,4000,,
200,P15,Irène FOUYABA PAMBIANG,,,Tchad,,2025,,,4000,,
201,P15,Divin Arnaud KOUEBATOUKA,,,Congo,,2025,,,4000,,
202,P15,Ayélé Sévérine KOUEVI-KOKOH,,,Togo,,2025,,,4000,,
203,P15,Zahra MOHAMED SAID,,,France,,2025,,,4000,,
204,P15,Braian RAZAFINONY,,,Madagascar,,2025,,,4000,,
205,P15,Akossiwavi Rachel Heureuse SILI,,,Togo,,2025,,,4000,,
206,P15,Sophie TARYAM KODJIANOUBA,,,Tchad,,2025,,,4000,,
207,P15,JOELLE EL HABER,,,Liban,,2025,,,5006,,
208,P15,ROUBA HOUSSAMI,,,Liban,,2025,,,5006,,
209,P15,CNJCI-Conseil National des Jeunes de Côte d'Ivoire,,,Côte d'Ivoire,,2025,,,18957,,
210,P15,INTER AFRICAN COMMITTEE,,,Ethiopie,,2024,,,15000,,
211,P15,RI JEUNESSE DE LA FRANCOPHONIE,,,France,,2025,,,20480,,
212,P15,ONG TOLOTSOA,,,Madagascar,,2025,,,28000,,
213,P15,FERAM FORUM D’ECHANGES ET DE RENCONTRES ADMINISTRATIFS MONDIAUX,,,France,,2024,,,35520,,
214,P15,FIPF- Fédération internationale des Prof esseurs de français (siège),,,France,,2025,,,1131,,
215,P15,FERAM FORUM D’ECHANGES ET DE RENCONTRES ADMINISTRATIFS MONDIAUX,,,France,,2025,,,34602,,
216,P15,G.A.F.F Gpe Ambassadeurs francophones de France,,,France,,2025,,,8378,,
217,P15,LCCE Lebanese Center for Civic Education,,,Liban,,2023,,,20000,,
218,P15,ONG EDEN,,,Madagascar,,2023,,,19798,,
219,P15,OPAS Org pr Promot de l'Agroécologie,,,Togo,,2023,,,18959,,
220,P15,SOLIDARITE POUR UNE JEUNESSE RESILIENTE,,,Haïti,,2023,,,20000,,
221,P15,ASSOCIATION DES JEUNES CREATEURS,,,Maroc,,2023,,,18300,,
222,P15,URDEIF,,,République Démocratique du Congo,,2023,,,19962,,
223,P15,FNPK BENIN,,,Bénin,,2023,,,15999,,
224,P15,ONG AGEDD AssoGuninéenneEveilauDeveloptdurable,,,Guinée,,2023,,,20000,,
225,P15,AGEDD-Asbl,,,République démocratique du Congo,,2023,,,5000,,
226,P15,Association Regards de Femmes,,,France,,2023,,,20000,,
227,P15,FIPF- Fédération internationale des Prof esseurs de français (siège),,,France,,2023,,,59470,,
228,P15,Association AGORA,,,Sénégal,,2023,,,19573,,
229,P15,CEDIF ONG Cercle Dévelppt Initiatives,,,Bénin,,2023,,,19834,,
230,P15,RIDAS,,,Haïti,,2023,,,18000,,
231,P15,APM-Burundi A Portée de Mains Burundi,,,Burundi,,2023,,,15000,,
232,P20,UNIVERSITÉ SENGHOR D'ALEXANDRIE,,,Egypt,,2024,,,49540,,
233,P20,Ministère du Tourisme et de l’Artisanat - Madagascar,,,Madagascar,,2024,,,34391,,
234,P20,Tourism Authority Mauritius,,,Mauritius,,2024,,,50000,,
235,P20,Ministère des Affaires Etrangères et du  Tourisme des Seychelles,,,Seychelles,,2024,,,20700,,
236,P20,Commune d'Itsahidi,,,Comoros,,2025,,,24300,,
237,P20,Association Humanitaire pour le Dév Com de Sadampoini Comores,,,Comoros,,2025,,,20000,,
238,P20,Ministère de l’Environnement chargé du Tourisme,,,Comoros,,2025,,,17000,,
239,P20,Union des Sanduk de Mohéli USM,,,Comoros,,2025,,,15000,,
240,P20,Commune Cembenoi Lac Salé,,,Comoros,,2025,,,14445,,
241,P20,National Institute of Entrepreneurship and Innovation_NIEI,,,Cambodia,,2025,,,77500,,
242,P20,Institute du Tourisme  du Cap Vert ITCV,,,Cape Verde,,2025,,,9285,,
243,P20,Institute du Tourisme  du Cap Vert ITCV,,,Cap Verde,,2026,,,35590,,
244,P20,Formation et Progrès-Cambodge - BRAP,,,Cambodge,,2024,,,91043,,
245,P20,SPOONS Cambodia Organization - BRAP,,,Cambodge,,2024,,,51285,,
246,P20,URDSE - BRAP,,,Cambodge,,2024,,,9441,,
247,P20,Agir Pour Le Cambodge - BRAP,,,Cambodge,,2024,,,46073,,
248,P20,CWEA of Siem Reap Branch - BRAP,,,Cambodge,,2024,,,91285,,
249,P20,Ministère du Tourisme du Cambodge - BRAP,,,Cambodge,,2024,,,94384,,
250,P20,IECD - BRAP,,,France,,2025,,,59108,,
251,P20,REACH - BRAP,,,Viet Nam,,2025,,,51693,,
252,P20,IMPACT ON - BRAP,,,Canada,,2025,,,65250,,
253,P20,Entrepreneurs du Monde - BRAP,,,France,,2025,,,72770,,
254,P20,WWF-Cambodge - BRAP,,,Cambodge,,2025,,,59195,,
255,P20,La Guilde - BRAP,,,France,,2025,,,9915,,
256,P20,Association Capverdienne d'Écotourisme,,,Cap Vert,,2025,,,50090,,
257,P20,Mairie Praia (Câmara Municipal da Praia),,,Cap Vert,,2025,,,45000,,
258,P20,Fundação Maio Biodiversidade,,,Cap Vert,,2025,,,44049,,
259,P20,Agence Parcs Nationaux des Comores PNC,,,Comores,,2025,,,84700,,
260,P20,COMORES COWORKING - COMWORK,,,Comores,,2025,,,65000,,
261,P20,WUTAMU COMORES,,,Comores,,2025,,,49500,,
262,P20,BAYON EDUCATION & DEV. ORGANIZATION-BRAP,,,Cambodge,,2025,,,53790,,
263,P20,ULIS - VNU - BRAP,,,Viet Nam,,2025,,,44234,,
264,P20,ONG Agir pour le Cambodge - BRAP,,,France,,2025,,,40503,,
265,P20,APFC - BRAP,,,Cambodge,,2025,,,12795,,
266,P17,Université de Montréal - Observatoire de la Francophonie économique,,,Canada,,2024,,,49164,,
267,P17,LA PLATEFORME (Ancien PPAEI),,,Madagascar,,2025,,,6400,,
268,P17,CEEE - CENTRE D’ÉTUDES ECONOMIQUES EUROP ÉENNES,,,France,,2024,,,15000,,
269,P17,FORUM FRANCOPHONE DES AFFAIRES (FFA),,,France,,2024,,,80000,,
270,P17,RIAFPI,,,Côte d'Ivoire,,2024,,,15000,,
271,P17,FORUM FRANCOPHONE DES AFFAIRES (FFA),,,France,,2025,,,95000,,
272,P17,RIAFPI,,,Côte d'Ivoire,,2025,,,40000,,
273,P17,CHAMBRE DE COMMERCE INTERNATIONALE ICC,,,France,,2025,,,40000,,
274,P17,OHADA  - ORGANISATION POUR L'HARMONISATI ON EN AFRIQUE DU DROIT DES AFFAIRES,,,Cameroon,,2025,,,39332,,
275,P17,Conférence permanente des Chambres CAF (CPCCAF),,,France,,2025,,,67100,,
276,P17,SILIKIN VILLAGE ASBL,,,République Démocratique du Congo,,2025,,,20000,,
277,P17,APF Alliance des Patronats Francophones,,,France,,2025,,,381300,,
278,P17,FORUM FRANCOPHONE DES AFFAIRES (FFA),,,France,,2023,,,80000,,
279,P17,RIAFPI,,,Côte d'Ivoire,,2023,,,43000,,
280,P17,APF Alliance des Patronats Francophones,,,France,,2023,,,262662,,
281,P17,CIRIDD - CENTRE INTERNATIONAL DE RESSOUR CES ET D'INNOVATION POUR LE DÉVELOPPEMEN T DURABLE,,,France,,2023,,,25980,,
282,P17,Centre de la francophonie des Amériques,,,Canada,,2023,,,25000,,
283,P17,ACADÉMIE DES LETTRES DU QUEBEC,,,Canada,,2023,,,4867,,
284,P17,OFQJ - Office Franco-Québécois pour la Jeunesse,,,France,,2023,,,1500,,
285,P16a,SIMPLON.Co,,,France,,2024,,,79503,,
286,P16a,Association PROEDEV,,,Togo,,2024,,,98787,,
287,P16a,MENFOP - MINISTERE DE L'EDUCATION NATION ALE ET DE LA FORMATION PROFESSIONNELLE RPUA,,,Djibouti,,2024,,,85000,,
288,P16a,Institut Supérieur du Numérique SupNum,,,Mauritanie,,2024,,,97340,,
289,P16a,AUF - Dir. Rég. Afrique de l'Ouest,,,Sénégal,,2024,,,81261,,
290,P16a,INCLUSIVE HELP CLASS (INCH CLASS),,,Cameroon,,2024,,,82629,,
291,P16a,OGOOUÉ LABS,,,Gabon,,2024,,,91831,,
292,P16a,Association Promotion de l'Excellence po ur le Développement - REPAO,,,Togo,,2024,,,15000,,
293,P16a,Association Comorienne des Technologies de l’Information et de la Communication - ACTIC,,,Comores,,2024,,,55798,,
294,P16a,MINISTERE DE L'ENSEIGNEMENT TECHNIQUE ET DE LA FORMATION PROFESSIONNELLE DE MADA GASCAR,,,Madagascar,,2024,,,94104,,
295,P16a,MENFOP - MINISTERE DE L'EDUCATION NATION ALE ET DE LA FORMATION PROFESSIONNELLE RPUA,,,Djibouti,,2024,,,15311,,
296,P16a,Association Promotion de l'Excellence po ur le Développement - REPAO,,,Togo,,2025,,,84137,,
297,P16a,EMN-Ecole des Métiers du Numérique,,,Bénin,,2025,,,99281,,
298,P16a,Association Promotion de l'Excellence po ur le Développement - REPAO,,,Togo,,2025,,,149962,,
299,P16a,RESEAUX D’APPUI AUX INITIATIVES LOCALES RAIL-ONG,,,Bénin,,2025,,,20000,,
300,P16a,Association PROEDEV,,,Togo,,2025,,,37083,,
301,P16a,Association Comorienne des Technologies de l’Information et de la Communication - ACTIC,,,Comores,,2025,,,83242,,
302,P16a,Direction Générale de la Jeunesse de Mad agascar,,,Madagascar,,2025,,,59061,,
303,P16a,Programme CLAC Comores,,,Comores,,2025,,,30858,,
304,P16a,FV - France Volontaires,,,France,,2025,,,5000,,
305,P16a,CNF des Seychelles - Commission national e pour la Francophonie,,,Seychelles,,2025,,,51520,,
306,P16a,MENFOP - MINISTERE DE L'EDUCATION NATION ALE ET DE LA FORMATION PROFESSIONNELLE RPUA,,,Djibouti,,2025,,,24938,,
307,P16a,CENTRE NATIONAL DE FORMATION DES FORMATEURS ET DE DVPT DES PROGRAMMES,,,Cameroon,,2025,,,99646,,
308,P16a,OGOOUÉ LABS,,,Gabon,,2025,,,99550,,
309,P16a,Kobo Hub,,,République Démocratique du Congo,,2025,,,99566,,
310,P16a,INSTITUT NATIONAL DE FORMATION ET DE PER FECTIONNEMENT PROFESSIONNELS - INFPP-Tog o - IFEF,,,Togo,,2024,,,13111,,
311,P16a,MINISTERE DES ENSEIGNEMENTS SECONDAIRE TECHNIQUE ET DE LA FORMATION PROFESSIONNELLE -Bénin MESTFP,,,Bénin,,2024,,,13339,,
312,P16a,Commission Nationale République Démocratique du Congo UNESCO,,,République Démocratique du Congo,,2024,,,,,
313,P16a,INSTITUT NATIONAL DE FORMATION ET DE PER FECTIONNEMENT PROFESSIONNELS - INFPP-Tog o - IFEF,,,Togo,,2025,,,762,,
314,P16a,PAMOFPE- programme d'amélioration de l'o ffre de la formation professionnelle,,,Cameroon,,2025,,,9695,,
315,P16a,Ministère de l'Education Nationale  des Comores,,,Comores,,2024,,,10861,,
316,P16a,APEFE Association pour la Promotion de l'Education et de la  Formation à l'Etranger,,,Rwanda,,2024,,,7887,,
317,P16a,DON BOSCO TECHAFRICA,,,Kenya,,2024,,,5000,,
318,P16a,"Ministère de l'enseignement technique, d e la formation professionnelle, de l'emp loi et du travail",,,Guinée,,2024,,,31000,,
319,P16a,Ministère de la Formation Professionnelle de l'Apprentissage et de l'Insertion,,,Sénégal,,2025,,,32929,,
320,P16a,PAMOFPE- programme d'amélioration de l'o ffre de la formation professionnelle,,,Cameroon,,2024,,,10001,,
321,P16a,Agence Développement Enseignement Technique ADET,,,Bénin,,2024,,,10804,,
322,P16a,Agence nationale de formation  et d'enseignement professionnels ANFEP,,,Gabon,,2025,,,17415,,
323,P16a,INSTITUT NATIONAL DE FORMATION ET DE PER FECTIONNEMENT PROFESSIONNELS - INFPP-Tog o - IFEF,,,Togo,,2025,,,20581,,
324,P16a,Ecole des Sciences et Techniques de Busogo,,,Rwanda,,2025,,,17115,,
325,P16a,Ministère l’Enseignement Supérieur Recherche Scientifique Formation Professionnelle Tchad FIJ,,,Tchad,,2025,,,25000,,
326,P16a,ASSOCIATION TUNISIENNE TECHNOLOGIE,,,Tunisie,,2025,,,3000,,
327,P16a,CEEE - CENTRE D’ÉTUDES ECONOMIQUES EUROP ÉENNES,,,France,,2023,,,30000,,
328,P16a,Kabakoo - La Maison de l’Étonnement,,,Mali,,2023,,,140095,,
329,P16a,DIPLO FOUNDATION,,,Switzerland,,2023,,,16438,,
330,P16a,ICT4Peace Foundation,,,Switzerland,,2023,,,25829,,
331,P16a,ISOC- Internet Society,,,Ethiopie,,2023,,,22986,,
332,P16a,Organisation des Nations Unies (ONU),,,United States,,2023,,,24000,,
333,P16a,ADESIT,,,Tchad,,2023,,,10000,,
334,P16a,SAYNA,,,Madagascar,,2023,,,4000,,
335,P16a,ASSOCIATION TUNISIENNE TECHNOLOGIE,,,Tunisie,,2023,,,17000,,
336,P16a,MENFOP - MINISTERE DE L'EDUCATION NATION ALE ET DE LA FORMATION PROFESSIONNELLE RPUA,,,Djibouti,,2023,,,10647,,
337,P16a,Agence Universitaire de la Francophonie - Direction régionale Afrique de l'Ouest,,,Sénégal,,2023,,,10956,,
338,P16a,SIMPLON AFRICA,,,Sénégal,,2023,,,2040,,
339,P16a,UNIVERSITÉ SENGHOR D'ALEXANDRIE,,,Egypte,,2023,,,22050,,
340,P16a,DIPLO FOUNDATION,,,Switzerland,,2023,,,42929,,
341,P16a,PRINTEMPS NUMÉRIQUE,,,Canada,,2023,,,3465,,
