n,projet,nom,type,secteur,pays,responsable,annee,initiative,nature_appui,montant_appui,telephone,email
28,P14,Caritas Diocésaine du Cap-Haïtien,,"Industrie, Energie et environnement, Services financiers, Commerce",Haïti,,2023,Renforcement de la capacité socio-économique des femmes vulnérables de Limonade,,65000,,
29,P14,Centre d'Innovation Technologique et d'Entrepreneuriat,,"Agriculture, sylviculture et pêche, Energie et environnement, Commerce",Haïti,,2023,Appui à l'entrepreneuriat agricole des filles mères et des femmes par le développement de pratiques agricoles adaptées au changement climatique dans le département du Sud en Haïti,,70000,,
30,P14,Cercle des Femmes Leaders en Haiti,,"Agriculture, sylviculture et pêche",Haïti,,2023,Appui à l'autonomisation économique et l'inclusion sociale des femmes et des filles éloignées de l'emploi par la mise en oeuvre d'un atelier de fabrication d'ustensile de cuisine en aluminium recyclé et la création d'une boutique,,70306.64,,
31,P14,Fusion Fiombonana Mifanasoa,,"Industrie, TIC",Madagascar,,2023,Autonomisation socioéconomique des jeunes femmes défavorisées dans la Commune Rurale d'Ankadikely Ilafy via des formations entrepreneuriales et professionnelles,,61410,,
32,P14,"Femme, Environnement, Santé et Education",,"Agriculture, sylviculture et pêche, Commerce",Gabon,,2023,Projet d'apiculture comme moyen de diversification des revenus des femmes autochtones et locales productrices de cacao sous ombrage,,80000,,
33,P14,Sampanasa momba ny Fampandrosoana Fiangonan'i Jesoa Kristy eto Madagasikara,,"Gouvernance et droits, Services financiers",Madagascar,,2023,Formalisation des activités génératrices de revenus des femmes et filles victimes de prostitution et porteuses du VIH,,70000,,
34,P14,Phare Ponleu Selpak,,"Santé, SSR et services sociaux",Cambodge,,2023,Formation supérieure d’insertion professionnelle à l'école de danse de Phare Ponleu Selpak,,100000,,
35,P14,Sehatr’Asa Hampandrosoana ny eny Ifotony,,Services financiers,Madagascar,,2023,"Programme de renforcement des compétences financières à Manakara et Vohipeno, Région de Fitovinany",,30000,,
36,P14,Banlieues du Monde,,"Industrie, TIC, Agriculture, sylviculture et pêche, Energie et environnement",Mauritanie,,2023,Projet de production et de commercialisation de l’oseille de Guinée et autres produits maraichers au profit des femmes de N’diorol,,65000,,
37,P14,SOS Villages d'Enfants,,"Gouvernance et droits, EFH",Madagascar,,2023,AMATEMA  (Ampela Mahaleo Tegna Mandray Andraikitsy) : Renforcement de l'autonomisation des jeunes filles et femmes membres de groupement dans la Région Anosy,,100000,,
38,P14,Tranoben'Ny Tantsaha Mpamokatra / Chambre d'Agriculture de Madagascar,,"Agriculture, sylviculture et pêche, Energie et environnement",Madagascar,,2023,AVICUMAFOREST : Améliorer  les moyens de subsistance des femmes vulnérables  dans la région Androy,,33948.94,,
39,P14,Inclusion Sans Frontière - Multi Handicap,,"Industrie, Energie et environnement, Agriculture, sylviculture et pêche, EFH",Niger,,2023,"Afada, Acika, pour une inclusion productive",,30000,,
40,P14,ONG Carrefour Jeunesse Niger,,"Energie et environnement, Agriculture, sylviculture et pêche, Commerce",Niger,,2023,"Autonomisation des femmes maraichères du village de Famalé, commune de Dessa, Département de Tillabéri, Région de Tillabéri",,48000,,
41,P14,Réseau Femmes et Développement Communautaire,,"Services financiers, EFH, Industrie",Mauritanie,,2023,Renforcement des capacités socioéconomiques et d'autonomisation de jeunes-femmes dans la Région de Nouakchott-Sud,,24000,,
42,P14,Fonds de Renforcement des Activités d'Autonomisation des Femmes,,"Agriculture, sylviculture et pêche, EFH",République Démocratique du Congo,,2023,"Projet d'accès des femmes déplacées aux opportunités d’autonomisation économiques productives et viables dans les villages du territoire de Bagata, Province du Kwilu/ RDC",,82752,,
43,P14,Centre d'Ecoute pour un Développement Durable,,"Agriculture, sylviculture et pêche, Industrie, Construction, Commerce",Sénégal,,2023,Femmes Vertes : Cultiver l'Autonomie,,26000,,
44,P14,African Women's Entrepreneurship Program Togo,,"TIC, Education et formation",Togo,,2023,Résilience et aspiration : Renforcer les capacités de la génération actuelle et préparer la prochaine génération de femmes entrepreneures au Togo,,38538,,
45,P14,Fonds de Soutien au développement des femmes de la province de Quang Tri,,"Education et formation, Energie et environnement, Industrie, Agriculture, sylviculture et pêche, Commerce, EFH, Services financiers",Vietnam,,2023,"Améliorer l'accès à la formation professionnelle pour le renforcement de la qualité de la main d'oeuvre et l'autonomisation des femmes et jeunes filles de l'ethnie minoritaire Bru Van Kieu dans la commune de Kim Ngan, province de Quang Tri (Vietnam)",,67942,,
46,P14,Association Chrétienne pour l’Alphabétisation et la Traduction de la Bible en Langue Ifè,,"Agriculture, sylviculture et pêche, EFH",Togo,,2023,Autonomisation économique des femmes rurales de la région des plateaux à travers la production et la transformation du manioc,,20000,,
47,P14,Rashet Kheir,,"Services financiers, Commerce",Liban,,2023,Boost'Elles : Renforcer l'autonomie économique des femmes entrepreneures pour une croissance inclusive,,70000,,
